country,pageviews,visit_duration,visitors,visits,bounce_rate
CH,4168,307,498,782,32
US,3114,197,641,820,38
UG,1573,281,359,480,40
MW,1566,277,340,427,33
ZA,1417,241,267,377,41
GB,1159,231,205,291,36
NG,930,91,346,375,42
KE,891,294,173,212,36
ID,774,264,157,212,39
CA,754,322,128,157,36
NL,706,194,177,228,46
GH,677,218,172,215,43
IN,663,159,230,280,53
BD,402,328,52,83,24
CN,396,263,59,92,24
PE,388,425,51,62,19
FR,359,367,66,81,49
PT,355,328,43,71,23
PH,330,571,28,46,15
SL,277,392,82,96,45
NE,262,269,61,71,28
RW,242,203,46,68,19
BE,235,304,34,42,29
DE,235,138,65,75,48
NP,221,375,34,44,30
ET,219,249,59,73,40
BJ,193,257,53,73,27
ZM,192,142,87,102,50
CI,170,179,41,65,26
IT,139,194,39,48,42
TH,124,283,22,31,16
BF,102,72,38,50,16
CO,97,129,30,35,34
DK,76,312,14,18,22
ES,63,358,14,16,44
CM,53,83,15,20,30
JO,50,651,8,8,12
TZ,46,221,12,17,41
KH,44,145,8,13,62
BR,43,312,8,9,22
AE,36,1475,2,2,0
SS,28,151,13,19,63
AT,25,6,14,14,43
FI,25,2,21,21,81
SE,25,18,19,20,85
SO,24,529,8,12,58
BO,21,554,4,4,0
HU,18,54,8,8,62
MZ,17,259,10,10,70
UA,17,0,17,17,100
MU,16,23,6,6,50
PS,15,233,5,5,20
RU,15,0,14,14,93
ZW,12,14,8,10,80
GT,10,175,4,4,25
KR,10,0,8,8,75
MG,10,24,3,6,50
MX,10,658,3,3,67
SN,9,148,6,6,67
NO,8,32,5,5,60
AU,7,2,5,5,60
LR,7,573,3,3,33
PL,7,0,6,6,83
QA,6,648,2,2,0
SY,6,134,3,3,33
EG,5,184,1,1,0
IE,5,0,4,4,75
PK,4,0,4,4,100
JP,3,0,3,3,100
MD,3,14,2,2,50
YE,3,32,2,2,50
HT,2,0,2,2,100
IL,2,0,1,2,100
IQ,2,65,1,1,0
LK,2,0,1,1,0
RE,2,0,1,1,0
SG,2,0,1,1,0
TN,2,1616,1,1,0
A1,1,0,1,1,100
CZ,1,0,1,1,100
EC,1,0,1,1,100
HK,1,0,1,1,100
LB,1,0,1,1,100
LI,1,0,1,1,100
ML,1,0,1,1,100
NI,1,0,1,1,100
TR,1,0,1,1,100
VN,1,0,1,1,100
