source,pageviews,visit_duration,visitors,visits,bounce_rate
Direct / None,20897,248,4124,5447,36
openwashdata.org,1387,186,433,467,49
LinkedIn,549,184,202,216,49
GitHub,493,317,100,104,39
Google,299,74,124,129,53
Gmail,182,314,58,59,46
find-it.pro,147,489,22,24,4
ghe.ethz.ch,30,189,9,9,44
Microsoft Teams,29,187,6,6,33
628432b2548a43468fb597bf5e15b2da.app.posit.cloud,23,3904,1,1,0
Twitter,20,117,8,8,50
myesaya.github.io,18,1115,1,1,0
Yandex,13,0,13,13,100
deploy-preview-65--luminous-treacle-bd685b.netlify.app,9,1,4,4,0
Bing,6,5,3,3,67
Facebook,6,6,5,5,80
deploy-preview-69--luminous-treacle-bd685b.netlify.app,6,105,2,3,67
teams.microsoft.com,5,1755,1,1,0
cms-author.ethz.ch,3,17,2,2,50
openwashdata.github.io,3,0,3,3,100
bd72cbd6759548aea4c62bc704cc633a.app.posit.cloud,2,265,1,1,0
openwashdata,2,4,1,1,0
rbtl-fs24.github.io,2,0,1,1,0
washweb.org,2,0,2,2,100
b3fa8b3eadf14e58b2d71b80161e505a.app.posit.cloud,1,0,1,1,100
deploy-preview-53--luminous-treacle-bd685b.netlify.app,1,0,1,1,100
learn2023.ukzn.ac.za,1,0,1,1,100
