iso_country,country,city
BDI,Burundi,Gitega
IND,India,Thane
MWI,Malawi,Blantyre
IND,India,Mumbai
SOM,Somalia,Garbaharey
SYR,Syria,Syria_ Aleppo
NGA,Nigeria,Abeokuta
GHA,Ghana,"accra,  ghana"
GBR,United Kingdom,Leeds
MOZ,Mozambique,Nampula
GBR,United Kingdom,Vancouver / Oxford
FRA,France,Paris
ETH,Ethiopia,Addis Ababa
SLE,Sierra Leone,Freetown
GBR,United Kingdom,Cranfield
KEN,Kenya,Nairobi
NGA,Nigeria,Lagos
NGA,Nigeria,Maiduguri
CHE,Switzerland,Berlin
UGA,Uganda,Kampala
CHE,Switzerland,Zurich
UGA,Uganda,Kampala
BGD,Bangladesh,Dhaka
ITA,Italy,Rome
IND,India,NA
USA,United States,"Boulder,  CO"
CHE,Switzerland,Zurich
MWI,Malawi,Blantyre
ETH,Ethiopia,Addis Ababa
ITA,Italy,Rome
NPL,Nepal,Kathmandu
NGA,Nigeria,Ibadan
BFA,Burkina Faso,Ouagadougou
GBR,United Kingdom,Bristol
GHA,Ghana,Tamale-Ghana
BFA,Burkina Faso,Ouagadougou
GHA,Ghana,NA
IND,India,Ahmedabad
RWA,Rwanda,Kigali
IND,India,Bengaluru
KEN,Kenya,Kisumu
MWI,Malawi,Blantyre
THA,Thailand,Bangkok
MWI,Malawi,Zomba
NGA,Nigeria,Ibadan
THA,Thailand,Bangkok
NGA,Nigeria,Sokoto
UGA,Uganda,Kampala
GHA,Ghana,Kumasi
NPL,Nepal,Kathmandu
IDN,Indonesia,Jakarta
CHE,Switzerland,Zürich
SEN,Senegal,dakar
ETH,Ethiopia,Addis Ababa
MWI,Malawi,Blantyre
USA,United States,Tampa
USA,United States,Denver
USA,United States,Lilongwe
MWI,Malawi,Blantyre
ZMB,Zambia,Zambia
ETH,Ethiopia,Addis Ababa
CHE,Switzerland,Wädenswil
IND,India,Bhopal
GHA,Ghana,Ghana
DNK,Denmark,Copenhagen
MWI,Malawi,Phalombe
FRA,France,Saint Paul
