id,google_timestamp,zoom_timestamp,prog_exp,prog_exp_r,prog_ease_max_list,data_format,current_use_llm,work_organisation,barrier_time_availability,barrier_supervisor_interests,barrier_internet_connection,barrier_electricity,barrier_computer,interest_share_dataset
i2x8i0,2023-10-05T10:31:42Z,2023-10-05T10:32:22Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
a7j5a3,2023-10-18T05:21:12Z,2023-10-18T05:22:09Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
e4k8e0,2023-10-02T18:30:19Z,2023-10-02T18:31:57Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,A barrier,Not a barrier,I don't know,Not a barrier,Not a barrier,No
r0x1r6,2023-10-12T17:40:54Z,2023-10-12T17:42:24Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Academia,Not a barrier,A barrier,Not a barrier,Not a barrier,Not a barrier,No
f8c1f2,2023-10-24T22:03:04Z,2023-10-18T16:26:01Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Government,Not a barrier,I don't know,A barrier,A barrier,A barrier,No
c8v9c5,2023-10-05T12:03:11Z,2023-10-05T12:04:00Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Private sector,I don't know,I don't know,Not a barrier,Not a barrier,Not a barrier,Yes
w9m1w5,2023-10-18T10:51:54Z,2023-10-18T10:53:26Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),I don't know,Not a barrier,A barrier,Not a barrier,Not a barrier,No
f6g2f6,2023-10-26T00:11:38Z,2023-10-13T11:55:21Z,I have written a few lines now and again.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
x5y9x0,2023-10-21T01:02:45Z,2023-10-21T01:06:51Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
q3r7q9,2023-10-17T09:02:12Z,2023-10-24T15:30:03Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
